pgc,al2000,de2000,ring
2133475,10.2715573,38.6733852,R
2135330,8.5872107,38.742243,R
2136787,9.7873268,38.7983,R
2138999,9.6224372,38.8931114,R
2141849,8.138966,39.023635,R
2142949,8.9420174,39.080692,R
2143150,10.299139,39.0910849,R
2143532,8.9494399,39.1108189,R
2143653,10.0707079,39.1183001,R
2146310,8.9065909,39.2508931,R
2147227,9.3276085,39.297875,R
2148361,8.9725787,39.358532,R
2150748,8.4399732,39.4938978,R
2155891,8.1587076,39.8018251,R
2158890,9.8743626,39.9904416,R
2159372,7.9622856,40.0221792,R
2162405,7.5399939,40.2124495,R
2162630,9.6771831,40.2267759,R
2163248,7.990759,40.2649732,R
2163637,8.8993255,40.2924756,R
2167543,8.9607191,40.5539728,R
2170030,8.298094,40.7263972,R
2170306,9.2862345,40.7460344,R
2171503,8.2576414,40.8252184,R
2176440,7.8470028,41.1474573,R
2176639,8.3479315,41.1598831,R
2178904,9.0229313,41.3014434,R
2179018,7.4814267,41.3078118,R
2180937,7.4181917,41.4271265,R
2184682,9.8333745,41.6587266,R
2186051,7.5826679,41.7405255,R
2191393,8.7097148,42.0447016,R
2193308,7.4057582,42.1501563,R
2199519,8.1478764,42.4700684,R
2200790,8.9308006,42.5327708,R
2202284,8.0812556,42.604512,R
2219755,9.6064965,43.3958292,R
2222182,7.5271133,43.4980053,R
2225603,7.9089646,43.6418158,R
2229046,7.4549239,43.7848714,R
2229484,8.4978782,43.8026433,R
2233704,8.5426298,43.9791749,R
2239829,9.5012928,44.2394478,R
2240564,10.1831633,44.2737199,R
2246264,7.7398607,44.5277705,R
2246780,8.800083,44.5501309,R
2254156,8.14883,44.8827672,R
2267065,10.0777302,45.5683225,R
2268126,8.2582295,45.6342095,R
2270503,8.2728273,45.7910179,R
2271521,10.0882585,45.8580782,R
2272351,7.6616296,45.9125946,R
2273392,10.085612,45.9779753,R
2273541,10.3548801,45.9872567,R
2277805,8.5339356,46.2405271,R
2278605,8.569965,46.2870601,R
2280294,9.1886004,46.3853337,R
2280958,8.4972516,46.4256946,R
2284718,8.1781024,46.6466216,R
2286019,8.2537891,46.7203671,R
2286861,10.3463291,46.7711607,R
2289638,8.2064175,46.9357592,R
2291483,8.3120913,47.0492163,R
2293473,10.1249245,47.1658252,R
2295448,9.281591,47.2781403,R
2297760,9.77348,47.4150419,R
2298536,7.6867014,47.4561131,R
2300426,7.943004,47.5638608,R
2307215,8.0070845,47.934702,R
2307344,8.3938972,47.9409714,R
2307570,8.2639389,47.9527521,R
