iauname,not_ring_pred,ring_pred,link,ra,dec,redshift,elpetro_absmag_r,sersic_nmgy_r,petro_th50,petro_th90,petro_theta
J002123.24-002138.4,0.0247584879398345,0.975241482257843,https://storage.yandexcloud.net/ring-galaxies/J002123.24-002138.4.jpg,5.346857341653814,-0.3606881870731928,0.08353291,-21.834597,867.47296,4.621275,12.66324,9.933681
J132436.30-032920.0,0.0247994754463434,0.9752005934715272,https://storage.yandexcloud.net/ring-galaxies/J132436.30-032920.0.jpg,201.15116454697397,-3.488908150971091,0.13514036,-21.13567,130.148,2.364125,6.6164,6.6164
J080126.62+091828.2,0.0248136986047029,0.975186288356781,https://storage.yandexcloud.net/ring-galaxies/J080126.62%2B091828.2.jpg,120.36094394739493,9.307854722914636,0.046999194,-19.86027,409.3611,4.1842575,9.64893,8.65481
J000825.87-003631.2,0.0248683430254459,0.975131630897522,https://storage.yandexcloud.net/ring-galaxies/J000825.87-003631.2.jpg,2.107840238224195,-0.6086851573417597,0.04039991,-19.95342,732.26843,3.4840734,9.539124,7.501081
J093736.79+194304.9,0.0249220300465822,0.9750779271125792,https://storage.yandexcloud.net/ring-galaxies/J093736.79%2B194304.9.jpg,144.40223706979373,19.714341494657575,0.025851257,-20.377535,3039.108,7.0032516,18.740425,16.429203
J123933.07+114129.2,0.0249262172728776,0.9750738143920898,https://storage.yandexcloud.net/ring-galaxies/J123933.07%2B114129.2.jpg,189.88782815274672,11.69145978088044,0.08421157,-20.020355,132.87051,3.2260087,7.052635,6.3726206
J102910.71+155744.7,0.0249643493443727,0.9750356674194336,https://storage.yandexcloud.net/ring-galaxies/J102910.71%2B155744.7.jpg,157.2946300963969,15.962444140922383,0.13834989,-21.229847,128.11325,1.7727973,5.6208315,4.8864403
J090754.94+141042.2,0.0249765645712614,0.97502338886261,https://storage.yandexcloud.net/ring-galaxies/J090754.94%2B141042.2.jpg,136.9789646749999,14.178382793769378,0.114887595,-20.447151,123.09935,2.3231719,6.5916753,5.648035
J142831.58+103006.3,0.0250173844397068,0.9749826192855836,https://storage.yandexcloud.net/ring-galaxies/J142831.58%2B103006.3.jpg,217.13162444089932,10.501744283266195,0.120300695,-20.905153,162.99869,1.517531,4.8205686,3.0296829
J103319.82-003605.8,0.0250493474304676,0.974950671195984,https://storage.yandexcloud.net/ring-galaxies/J103319.82-003605.8.jpg,158.3326208445745,-0.6016408663378959,0.050503727,-20.7795,995.9469,5.32112,15.784071,12.6267185
J134148.21+063320.9,0.0251096244901418,0.9748903512954712,https://storage.yandexcloud.net/ring-galaxies/J134148.21%2B063320.9.jpg,205.45089421206066,6.555827422812224,0.101451464,-21.129177,233.55682,2.5097506,5.3301015,4.9577327
J112917.79-014225.9,0.0251756459474563,0.97482430934906,https://storage.yandexcloud.net/ring-galaxies/J112917.79-014225.9.jpg,172.32486106836902,-1.7075422268248825,0.042801563,-20.891409,1109.6361,7.0032516,19.064943,14.568813
J110146.70+101946.9,0.0251791756600141,0.9748207926750184,https://storage.yandexcloud.net/ring-galaxies/J110146.70%2B101946.9.jpg,165.44274221049622,10.329956987489426,0.03555366,-20.57601,1838.1632,4.456124,14.320828,11.19691
J095103.90+192348.1,0.0251807980239391,0.9748192429542542,https://storage.yandexcloud.net/ring-galaxies/J095103.90%2B192348.1.jpg,147.76628124815284,19.39670374675459,0.10668261,-21.097773,266.753,3.1271558,9.226169,8.4790745
J091703.74+075850.3,0.0251906421035528,0.9748093485832214,https://storage.yandexcloud.net/ring-galaxies/J091703.74%2B075850.3.jpg,139.26561642761038,7.980676597525612,0.0554472,-20.14981,454.32822,3.193874,9.373409,8.000845
